Player,Team,Nation,Position,Actual_Transfer_Value_M,Predicted_Transfer_Value_M
Omar Marmoush,Manchester City,EGY,FW,75.0,75.0
Leny Yoro,Manchester Utd,FRA,DF,62.0,62.0
Amadou Onana,Aston Villa,BEL,MF,59.4,59.4
Georginio Rutter,Brighton,FRA,MF,46.7,46.7
Riccardo Calafiori,Arsenal,ITA,DF,45.0,45.0
Matthijs de Ligt,Manchester Utd,NED,DF,45.0,45.0
Joshua Zirkzee,Manchester Utd,NED,FW,42.5,42.5
Noussair Mazraoui,Manchester Utd,MAR,DF,15.0,42.15
Mateus Fernandes,Southampton,POR,MF,15.0,31.38
Joachim Andersen,Fulham,DEN,DF,29.5,29.5
Sávio,Manchester City,BRA,FW,25.0,25.0
Sander Berge,Fulham,NOR,MF,23.6,23.6
Sepp van den Berg,Brentford,NED,DF,23.6,23.6
Oliver Skipp,Leicester City,ENG,MF,23.5,23.5
Jacob Greaves,Ipswich Town,ENG,DF,21.5,21.5
Max Kilman,West Ham,ENG,DF,47.5,21.03
Jake O'Brien,Everton,IRL,DF,19.5,19.5
Evanilson,Bournemouth,BRA,FW,37.0,18.93
Aaron Wan-Bissaka,West Ham,ENG,DF,17.6,18.73
Emile Smith Rowe,Fulham,ENG,MF,31.8,18.25
Flynn Downes,Southampton,ENG,MF,17.9,17.9
Liam Delap,Ipswich Town,ENG,FW,17.9,17.9
Jack Clarke,Ipswich Town,ENG,FW,17.7,17.7
Cameron Archer,Southampton,ENG,FW,17.6,17.6
İlkay Gündoğan,Manchester City,GER,MF,,17.38
Dean Huijsen,Bournemouth,ESP,DF,15.2,15.2
Ismaila Sarr,Crystal Palace,SEN,MF,15.0,15.0
Dara O'Shea,Ipswich Town,IRL,DF,14.2,14.2
Caleb Okoli,Leicester City,ITA,DF,14.0,14.0
Sammie Szmodics,Ipswich Town,IRL,FW,10.6,12.53
Nikola Milenković,Nott'ham Forest,SRB,DF,12.3,12.3
Arijanet Muric,Ipswich Town,KVX,GK,9.6,9.6
Yukinari Sugawara,Southampton,JPN,DF,7.0,7.0
Jordan Ayew,Leicester City,GHA,FW,5.9,5.9
